ToDrop,n,thresh
sancarp-sancarpoforock,2,25k
sfeel,1,25k
nfy-slate,1,25k
fea-spanish-wapaunsie,1,25k
fea-spanish-rockck,1,25k
cache-wfsulphurck,1,25k
stan-roseck,2,50k
smith,2,50k
sfeel,1,
sancarp-sancarpoforock,2,
nfy-slate,1,
nfy-nfnfa,2,
fea-spanish-rockck,1,
fea-spanish-wapaunsie,1,
dry-cantua_al,2,
cache-wfsulphurck,1,
cache-sulphurck,1,
