"","bear","bear-grhn","bear-sth2","bear-stha","bear-sthc","cache-sulphurck","calav-esperck","calav-jesusmariack","deer-clearck","deer-clec","dry-cantua_al","eel","fea-beanck","fea-spanish-bgulch","fea-spanish-silverck","fea-spanishck","klam-aiken","lagun-halleckck","mad-mapleck","mad-redwoodck","mad-redwoodck2","mat-bearriver","mat-headwatermattole","mat-lowermattole","mfa-amec","mfa-gasc","mfa-todc","mfy-oregck","mfy-us-oh","nfa","nfa-bunc","nfa-euchds","nfa-euchus","nfa-indc","nfa-pond","nfa-robr","nfa-saic","nfa-shic","nfa-slar","nff-poe","nfmfa-sc","nfy","nfy-slate-cgrav","nfy-slate-onion","paj-clearck","paj-sanbenito","put-cold","put-wildhorseck","rub-lc-us","rub-usph","russ-mwsprngck","salin-losburros","sancarp-dutrack","sfa-cami","sfeel-cedar","sfeel-elder","sfy-fallck","sfy-loga","sfy-mcki","sfy-misc","sfy-rockck","sfy-scotchman","sfy-shadyck","sfy-springck","smith","smith-hurdygurdyck","soquel-ebsc","ssantiam","sumpqua","trin-sftrinity","trin-sftrinity-sandybar","trin-tishtang","tuo-clavey","vandz-dinsmore","vandz-rootcreek","vandz-shanty"
"deer-clec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.332628,0.278785,0.313034,0.340938,0.33881,0.329924,0.289862,0.298798,0.30121,0.270943,0.23814,0.277519,0.268605,0.325239,0.263496,0.277795,0.276181,0.212234,0.204736,0.204139,0.227898,0.264933,0.269372,0.234906,0.249074,0.200517,0.263648,0.20338,0.232828,0.290008,0.257847,0.223712,0.32401,0.318619,0.48734,0.432371,0.400403,0.370443,0.265591,0.287431,0.279455,0.457758,0.43848,0.35342,0.299855,0.321299,0.268588,0.242093,0.283599,0.218519,0.295777,0.289791,0.22035,0.302968,0.255928,0.305994,0.409568,0.386483,0.352541,0.23624,0.265487,0.287494,0.430826,0.265602,0.284129,0.392664
"dry-cantua_al",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252066,0.319362,0.327235,0.327402,0.336532,0.228159,0.232749,0.265577,0.242874,0.241144,0.242212,0.225185,0.269364,0.310627,0.338298,0.341101,0.316143,0.324755,0.313387,0.338036,0.33311,0.322995,0.345799,0.316865,0.3071,0.334809,0.312527,0.33376,0.296369,0.326932,0.319581,0.334475,0.312134,0.206846,0.217249,0.34803,0.322697,0.322279,0.352051,0.229421,0.350659,0.343872,0.340441,0.271923,0.25256,0.32833,0.31967,0.330546,0.316006,0.330138,0.295016,0.323597,0.336317,0.216468,0.278759,0.251041,0.315484,0.25199,0.201215,0.238159,0.255509,0.350648,0.238354,0.23658,0.304223
"eel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.274062,0.272579,0.268766,0.270371,0.164242,0.199408,0.090613,0.121949,0.121216,0.092534,0.139234,0.109474,0.298807,0.301781,0.304855,0.267101,0.271903,0.273149,0.28867,0.282473,0.278576,0.288216,0.274488,0.269086,0.288075,0.269418,0.281664,0.224959,0.291334,0.275554,0.29101,0.280776,0.327462,0.336792,0.215811,0.176172,0.288385,0.301317,0.15997,0.361587,0.349087,0.315104,0.087023,0.154283,0.27704,0.272026,0.277,0.274514,0.27795,0.284713,0.276964,0.282522,0.18416,0.178925,0.323906,0.271844,0.249399,0.109817,0.115759,0.121431,0.320042,0.08652,0.104653,0.163291
"fea-beanck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071805,0.100316,0.092794,0.287677,0.284885,0.291903,0.267004,0.256096,0.270443,0.294471,0.317221,0.301852,0.321542,0.308185,0.274026,0.275761,0.277735,0.285488,0.30926,0.301707,0.30388,0.302551,0.272834,0.293341,0.283801,0.29737,0.248533,0.285257,0.271098,0.301368,0.288762,0.381158,0.351687,0.324441,0.314433,0.300412,0.298807,0.277153,0.377096,0.350819,0.323175,0.291923,0.323944,0.30277,0.280537,0.309985,0.263907,0.32129,0.327359,0.272753,0.320764,0.277417,0.285245,0.33777,0.274196,0.342604,0.250289,0.26532,0.278718,0.342017,0.266275,0.287137,0.36153
"fea-spanish-bgulch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104818,0.098202,0.294219,0.296791,0.293689,0.268188,0.257067,0.273195,0.294105,0.324534,0.312275,0.337577,0.320023,0.286755,0.283948,0.287465,0.296884,0.329246,0.324159,0.316747,0.326037,0.280083,0.309098,0.293052,0.31137,0.260475,0.299596,0.28714,0.333793,0.312196,0.418515,0.369607,0.35025,0.33016,0.31294,0.314516,0.277496,0.39699,0.371236,0.343199,0.295495,NA,0.324537,0.30207,0.342204,0.280668,0.350874,0.340585,0.285307,0.354681,0.282589,0.283662,0.355903,0.295829,0.355793,0.246145,0.269094,0.280627,0.378961,0.266565,0.292144,0.381355
"fea-spanish-silverck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.099786,0.290036,0.295499,0.291477,0.26888,0.257014,0.273694,0.288763,0.315339,0.324687,0.344362,0.333373,0.293373,0.284831,0.294286,0.309529,0.333452,0.330206,0.319848,0.327107,0.285917,0.317101,0.295927,0.317995,NA,0.313519,0.297938,0.324155,0.3032,0.411744,0.376524,0.353492,0.332519,0.326374,0.324757,0.275899,0.405996,0.382661,0.355113,0.293411,0.323015,0.328026,0.311715,0.345873,0.296132,0.349009,0.336769,0.295394,0.350084,0.284172,0.275958,0.363544,0.309453,0.347246,0.24219,0.269805,0.277591,0.385402,0.265018,0.290705,0.364065
"fea-spanishck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293665,0.298076,0.286435,0.266652,0.257293,0.27255,0.303314,0.315578,0.319018,0.337977,0.321795,0.27462,0.272317,0.280988,0.294179,0.306334,0.305328,0.297053,0.30922,0.277207,0.293414,0.282457,0.297067,0.266292,0.296298,0.277635,0.329376,0.312891,0.393742,0.357757,0.327778,0.314393,0.300558,0.302041,0.280074,0.38083,0.360223,0.341944,0.286734,0.333515,0.301679,0.298735,0.323602,0.283653,0.324221,0.333336,0.278802,0.327422,0.290334,0.283973,0.349365,0.273837,0.345591,0.2509,0.264411,0.276228,0.355457,0.268884,0.291674,0.367434
"klam-aiken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19232,0.17139,0.158495,0.156453,0.161274,0.163113,0.189592,0.287276,0.306946,0.311237,0.271906,0.291328,0.274197,0.303361,0.297239,0.288944,0.309741,0.277679,0.273184,0.30716,0.280116,0.299665,0.231994,0.30124,0.279911,0.299478,0.27947,0.33982,0.358327,0.289084,0.257409,0.294205,0.323892,0.185489,0.371369,0.35232,0.318513,0.181512,0.190837,0.290636,0.282488,0.287578,0.280087,0.295304,0.265187,0.289966,0.299643,0.152987,0.194695,0.340461,0.296871,0.23304,0.116504,0.128114,0.143504,0.32709,0.152258,0.149517,0.224493
"lagun-halleckck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215413,0.180219,0.1864,0.193153,0.160673,0.223726,0.28123,0.316331,0.316528,0.279055,0.303906,0.276766,0.312434,0.303177,0.296936,0.326297,0.283356,0.278153,0.307575,0.291189,0.308474,0.275399,0.30292,0.290463,0.306074,0.284983,0.336065,0.355278,0.293366,0.274214,0.292531,0.330203,0.170435,0.362586,0.349072,0.321631,0.210783,0.188772,0.296125,0.284451,0.293658,0.280887,0.307816,0.251526,0.301288,0.306474,0.169708,0.241213,0.334893,0.293421,0.250809,0.144942,0.190545,0.211534,0.320728,0.183225,0.174879,0.256143
"mad-mapleck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13058,0.133415,0.10864,0.153826,0.128759,0.311009,0.31695,0.315765,0.280064,0.285917,0.284811,0.302089,0.298365,0.294177,0.300283,0.290887,0.279322,0.302529,0.281964,0.29411,0.243179,0.305082,0.288552,0.31755,0.302565,0.347703,0.351428,0.237818,0.197092,0.304077,0.314243,0.175335,0.374314,0.361388,0.332039,0.105093,0.179617,0.294664,0.292744,0.298723,0.288947,0.295922,0.307452,0.288945,0.301408,0.194929,0.192403,0.339244,0.283928,0.254546,0.112925,0.119679,0.127385,0.339435,0.093149,0.115563,0.178112
