"",E-1,E-2,N-Fea-35,N-Fea-36,N-Fea-37,N-Fea-38,N-Fea-39,NE-10,NE-11,NE-12,NE-13,NE-14,NE-15,NE-16,NE-17,NE-18,NE-19,NE-20,NE-21,NE-22,NE-23,NE-24,NE-25,NE-26,NE-27,NE-28,NE-29,NE-3,NE-30,NE-31,NE-32,NE-33,NE-34,NE-4,NE-5,NE-6,NE-7,NE-8,NE-9,NW-40,NW-41,NW-42,NW-43,NW-44,NW-45,NW-46,NW-47,NW-48,NW-49,NW-50,NW-51,NW-52,NW-53,NW-54,NW-55,NW-56,NW-57,SW-58,SW-59,W-60,W-61,W-62,W-63
NW-44,0.273856,0.29493,0.230693,0.239494,0.243383,0.239221,0.186972,0.254556,0.263365,0.228872,0.234024,0.228119,0.244601,0.249015,0.243333,0.247337,0.225312,0.226815,0.26086,0.231211,0.240569,0.24746,0.229555,0.235524,0.246811,0.2594,0.238507,0.224441,0.23053,0.228126,0.243895,0.238856,0.246744,0.242475,0.237117,0.272254,0.240577,0.238539,0.248973,0.040995,0.057925,0.080516,0.086067,0,0.033368,0.187473,0.148153,0.131831,0.050791,0.146036,0.237515,0.069867,0.077905,0.08077,0.0498,0.045293,0.085345,0.32595,0.315425,0.262823,0.309125,0.301984,0.288081
NW-45,0.27807,0.297641,0.230478,0.23996,0.242575,0.233177,0.186724,0.257847,0.267795,0.228752,0.234299,0.230662,0.25061,0.247424,0.245849,0.249195,0.23052,0.229531,0.261902,0.230817,0.242665,0.250538,0.232289,0.233008,0.250973,0.2612,0.24126,0.223872,0.235715,0.234104,0.240733,0.242646,0.252217,0.249466,0.240297,0.264143,0.243375,0.238704,0.259064,0.033015,0.048107,0.081257,0.080622,0.033368,0,0.179099,0.137114,0.128995,0.032981,0.138723,0.233259,0.073298,0.073244,0.077542,0.045378,0.046307,0.069907,0.329437,0.319421,0.264872,0.30754,0.301602,0.2881
NW-46,0.343517,0.359906,0.288315,0.301987,0.303207,0.295241,0.279708,0.338268,0.339607,0.308769,0.304515,0.308378,0.321781,0.320956,0.315687,0.322646,0.300823,0.30345,0.328848,0.305521,0.318387,0.324077,0.312969,0.303605,0.320891,0.331071,0.314281,0.2976,0.30836,0.305644,0.30671,0.318046,0.318466,0.318332,0.308649,0.338827,0.317998,0.313363,0.335977,0.172875,0.191119,0.201853,0.20533,0.187473,0.179099,0,0.130048,0.225161,0.193252,0.24251,0.288161,0.185381,0.202568,0.207182,0.186713,0.179652,0.203596,0.385652,0.375404,0.321527,0.375454,0.361421,0.349642
NW-47,0.326276,0.347177,0.275262,0.285485,0.287593,0.281983,0.251988,0.320163,0.322572,0.290643,0.288195,0.29147,0.303961,0.302482,0.299686,0.304106,0.286896,0.285701,0.313508,0.287727,0.301449,0.30813,0.29524,0.288534,0.304632,0.314313,0.297101,0.281703,0.291832,0.290729,0.289163,0.2993,0.300495,0.30061,0.292578,0.319979,0.299864,0.294885,0.314886,0.129074,0.146987,0.169063,0.172792,0.148153,0.137114,0.130048,0,0.193986,0.148555,0.217968,0.279116,0.15884,0.164084,0.170009,0.147173,0.147118,0.160477,0.370348,0.361602,0.31221,0.358518,0.34611,0.335301
NW-48,0.293697,0.304817,0.252556,0.26262,0.261578,0.260738,0.232615,0.28054,0.289627,0.254792,0.262911,0.253931,0.277017,0.274536,0.270151,0.277249,0.251722,0.253989,0.287377,0.260659,0.270121,0.276612,0.255598,0.253987,0.269321,0.284868,0.261445,0.25108,0.257047,0.255716,0.272033,0.272431,0.275899,0.27718,0.267777,0.291529,0.27099,0.26914,0.274376,0.123713,0.14355,0.147419,0.144892,0.131831,0.128995,0.225161,0.193986,0,0.13989,0.190494,0.248356,0.107496,0.146231,0.152311,0.125437,0.114254,0.145092,0.330689,0.319579,0.272309,0.318438,0.311643,0.302407
NW-49,0.294927,0.313297,0.250794,0.261728,0.26021,0.255745,0.202285,0.275394,0.281898,0.246261,0.250738,0.248029,0.267213,0.262242,0.26011,0.263686,0.24535,0.244779,0.275925,0.24621,0.25828,0.268491,0.248871,0.254317,0.264894,0.276895,0.254035,0.243625,0.252571,0.251673,0.254863,0.257011,0.262864,0.264509,0.254813,0.28245,0.259157,0.253252,0.273803,0.038574,0.054877,0.088416,0.090843,0.050791,0.032981,0.193252,0.148555,0.13989,0,0.157325,0.25179,0.079254,0.082821,0.085712,0.053614,0.056884,0.083555,0.342443,0.333408,0.281474,0.325115,0.317957,0.306272
NW-50,0.296895,0.308514,0.240896,0.247059,0.2378,0.244492,0.211968,0.28263,0.292923,0.256705,0.259456,0.259896,0.275906,0.274419,0.269705,0.279044,0.2548,0.254392,0.284647,0.26062,0.270574,0.278842,0.261401,0.238003,0.277792,0.288093,0.265972,0.236659,0.257319,0.259275,0.265765,0.270207,0.27128,0.272984,0.264976,0.267054,0.269663,0.265573,0.281156,0.135848,0.149077,0.142621,0.14633,0.146036,0.138723,0.24251,0.217968,0.190494,0.157325,0,0.231602,0.122438,0.145087,0.145792,0.134039,0.133303,0.154913,0.335577,0.323711,0.274412,0.315383,0.309978,0.302816
NW-51,0.303622,0.297193,0.234459,0.242339,0.253715,0.243293,0.281136,0.315802,0.319844,0.276386,0.287286,0.284657,0.305939,0.292685,0.28504,0.307174,0.285256,0.282412,0.303157,0.292567,0.297023,0.291861,0.282306,0.26535,0.287513,0.297865,0.276889,0.273133,0.27196,0.277832,0.285723,0.295459,0.287031,0.301654,0.290205,0.317638,0.295876,0.290799,0.309838,0.236925,0.244405,0.24071,0.236418,0.237515,0.233259,0.288161,0.279116,0.248356,0.25179,0.231602,0,0.213956,0.24436,0.244995,0.229759,0.217724,0.241685,0.321337,0.3061,0.258366,0.307939,0.299703,0.299703
NW-52,0.24865,0.26333,0.204853,0.217244,0.218507,0.214205,0.154919,0.226081,0.235733,0.19749,0.208954,0.195989,0.220285,0.222904,0.218712,0.224771,0.199707,0.199705,0.23726,0.20575,0.21593,0.221043,0.199555,0.21149,0.217051,0.236218,0.207916,0.202973,0.207039,0.200292,0.224431,0.215721,0.226917,0.223788,0.213725,0.247313,0.213851,0.214864,0.218732,0.06306,0.067882,0.075627,0.07561,0.069867,0.073298,0.185381,0.15884,0.107496,0.079254,0.122438,0.213956,0,0.038096,0.035762,0.049537,0.049915,0.079073,0.292827,0.282234,0.236875,0.279448,0.271784,0.261986
NW-53,0.274776,0.295035,0.228705,0.240537,0.243533,0.234219,0.165152,0.254432,0.261632,0.220745,0.225855,0.222551,0.241539,0.238245,0.240804,0.239641,0.218232,0.222772,0.255586,0.223139,0.236658,0.246475,0.225531,0.232926,0.240051,0.256928,0.235048,0.222503,0.22952,0.225317,0.235708,0.235176,0.246672,0.241032,0.230689,0.268784,0.235264,0.235621,0.250961,0.065047,0.068959,0.094409,0.096956,0.077905,0.073244,0.202568,0.164084,0.146231,0.082821,0.145087,0.24436,0.038096,0,0.018296,0.064038,0.070051,0.096378,0.32823,0.319449,0.267603,0.314288,0.306002,0.291931
