"","bear","bear-grhn","bear-sth2","bear-stha","bear-sthc","deer-clec","eel","fea-beanck","fea-spanish-bgulch","fea-spanish-silverck","fea-spanishck","mad-mapleck","mad-redwoodck","mad-redwoodck2","mat-bearriver","mat-lowermattole","mfa-amec","mfa-gasc","mfa-todc","mfy-oregck","mfy-us-oh","nfa","nfa-bunc","nfa-euchds","nfa-euchus","nfa-indc","nfa-pond","nfa-robr","nfa-saic","nfa-shic","nfa-slar","nff-poe","nfmfa-sc","nfy","nfy-slate-cgrav","paj-clearck","paj-sanbenito","put-cold","put-wildhorseck","rub-lc-us","rub-usph","russ-mwsprngck","salin-losburros","sancarp-dutrack","sfa-cami","sfeel-cedar","sfy-fallck","sfy-loga","sfy-misc","sfy-rockck","sfy-shadyck","sfy-springck","smith-hurdygurdyck","soquel-ebsc","ssantiam","trin-sftrinity","trin-sftrinity-sandybar","trin-tishtang","tuo-clavey","vandz-dinsmore","vandz-rootcreek","vandz-shanty"
"ala-arroyomocho",0.293283,0.317706,0.310692,0.342294,0.312597,0.315655,0.263399,0.274157,0.283214,0.295515,0.288173,0.277135,0.264553,0.265605,0.262823,0.264872,0.314941,0.326177,0.329687,0.299458,0.306133,0.30451,0.317033,0.316391,0.311488,0.324488,0.301704,0.299952,0.328168,0.305477,0.317174,0.298953,0.312076,0.303133,0.289554,0.183232,0.183509,0.321527,0.31221,0.309527,0.320648,0.272309,0.293011,0.278968,0.314743,0.281474,0.313607,0.301885,0.296727,0.31545,0.315733,0.319272,0.274412,0.120879,0.258366,0.236875,0.267603,0.275096,0.318599,0.258771,0.248966,0.28024
"bear",NA,0.097707,0.04392,0.048547,0.033896,0.126619,0.222916,0.204699,0.210501,0.207047,0.212051,0.236473,0.23094,0.216125,0.224441,0.223872,0.168621,0.154439,0.170355,0.131404,0.120016,0.088188,0.106769,0.117287,0.117764,0.105765,0.09848,0.087723,0.136997,0.088285,0.104254,0.203693,0.142047,0.136879,0.144102,0.335165,0.326176,0.2976,0.281703,0.158851,0.160941,0.25108,0.350573,0.339644,0.235339,0.243625,0.140033,0.116204,0.119691,0.131832,0.135005,0.135584,0.236659,0.318336,0.273133,0.202973,0.222503,0.223877,0.285391,0.218189,0.216827,0.23259
"bear-grhn",NA,NA,0.084334,0.164669,0.083334,0.128901,0.243573,0.240711,0.24415,0.261465,0.253325,0.257013,0.248397,0.237677,0.242475,0.249466,0.186478,0.167294,0.181777,0.140759,0.126957,0.091859,0.10483,0.117072,0.116429,0.102633,0.094678,0.09507,0.141592,0.089796,0.1049,0.232242,0.15395,0.138699,0.189947,0.370712,0.354325,0.318332,0.30061,0.164615,0.173007,0.27718,0.379721,0.369607,0.258331,0.264509,0.142785,0.117936,0.115166,0.128341,0.135489,0.133814,0.272984,0.34307,0.301654,0.223788,0.241032,0.244204,0.320602,0.238689,0.234623,0.26124
"bear-sth2",NA,NA,NA,0.11616,0.021609,0.12609,0.237296,0.234536,0.244002,0.257721,0.243901,0.250821,0.242345,0.229677,0.237117,0.240297,0.181381,0.165792,0.177774,0.133374,0.123468,0.082245,0.104122,0.097948,0.102854,0.086863,0.082452,0.084381,0.131424,0.079143,0.088982,0.232154,0.145469,0.138603,0.184093,0.360776,0.346264,0.308649,0.292578,0.145076,0.158231,0.267777,0.368445,0.358392,0.251498,0.254813,0.135888,0.121912,0.122992,0.117847,0.132575,0.132469,0.264976,0.335332,0.290205,0.213725,0.230689,0.236137,0.308172,0.231858,0.227186,0.253915
"bear-stha",NA,NA,NA,NA,0.108916,0.186192,0.259219,0.242277,0.254058,0.226864,0.237074,0.27647,0.275396,0.258653,0.272254,0.264143,0.238491,0.209797,0.231263,0.194651,0.162367,0.15697,0.171967,0.17796,0.180525,0.166094,0.173503,0.151566,0.184241,0.140787,0.166036,0.238317,0.207034,0.204601,0.181809,0.37875,0.366718,0.338827,0.319979,0.228317,0.216391,0.291529,0.392491,0.380322,0.286908,0.28245,0.205679,0.185333,0.195297,0.188552,0.189822,0.192017,0.267054,0.359562,0.317638,0.247313,0.268784,0.267552,0.338483,0.26581,0.270363,0.264748
"bear-sthc",NA,NA,NA,NA,NA,0.128691,0.241395,0.236557,0.238854,0.254075,0.249623,0.253621,0.246186,0.233809,0.240577,0.243375,0.173305,0.158375,0.176362,0.135469,0.130308,0.083398,0.10327,0.113081,0.111722,0.096433,0.091551,0.086231,0.137965,0.085214,0.098731,0.228703,0.146496,0.136458,0.176705,0.360315,0.348845,0.317998,0.299864,0.1544,0.166684,0.27099,0.371957,0.3625,0.24898,0.259157,0.138693,0.114883,0.116384,0.131154,0.13613,0.135852,0.269663,0.339419,0.295876,0.213851,0.235264,0.238587,0.306813,0.233466,0.228158,0.253725
"deer-clec",NA,NA,NA,NA,NA,NA,0.238493,0.232491,0.238184,0.248182,0.241857,0.250248,0.247234,0.233106,0.238539,0.238704,0.204158,0.190495,0.203403,0.140007,0.126738,0.12711,0.142792,0.150164,0.148152,0.136431,0.127593,0.12545,0.171369,0.120241,0.137309,0.226813,0.178653,0.137855,0.178105,0.36597,0.35211,0.313363,0.294885,0.184934,0.187726,0.26914,0.376049,0.363723,0.264656,0.253252,0.139402,0.121565,0.12146,0.126279,0.133609,0.137016,0.265573,0.340215,0.290799,0.214864,0.235621,0.238293,0.314337,0.232161,0.229277,0.24953
"eel",NA,NA,NA,NA,NA,NA,NA,0.227779,0.235841,0.236559,0.232394,0.038835,0.070691,0.076344,0.040995,0.033015,0.254168,0.258132,0.264865,0.2285,0.231077,0.230409,0.246487,0.245728,0.243035,0.24588,0.225579,0.228724,0.257741,0.22824,0.240467,0.182332,0.250949,0.233,0.231613,0.308005,0.298801,0.172875,0.129074,0.248357,0.260633,0.123713,0.3245,0.315855,0.277241,0.038574,0.236596,0.229785,0.229578,0.237783,0.240099,0.244301,0.135848,0.287966,0.236925,0.06306,0.065047,0.068026,0.296129,0.034302,0.040579,0.063131
"fea-beanck",NA,NA,NA,NA,NA,NA,NA,NA,0.006853,0.016606,0.014119,0.244426,0.235767,0.229286,0.230693,0.230478,0.264973,0.265293,0.273109,0.232629,0.229512,0.239863,0.244943,0.255687,0.243327,0.258773,0.232094,0.232541,0.257143,0.240994,0.248784,0.18755,0.24999,0.232017,0.195547,0.320818,0.312134,0.288315,0.275262,0.257522,0.256983,0.252556,0.338441,0.320213,0.272841,0.250794,0.239126,0.216505,0.218734,0.235439,0.239906,0.236288,0.240896,0.303774,0.234459,0.204853,0.228705,0.231058,0.288196,0.22303,0.216658,0.233325
"fea-spanish-bgulch",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016184,0.014632,0.252726,0.244539,0.237514,0.239494,0.23996,0.27068,0.271338,0.278006,0.241554,0.237447,0.24789,0.24886,0.265618,0.252973,0.268637,0.245744,0.236327,0.26685,0.249355,0.257501,0.193299,0.252864,0.239932,0.20758,0.334469,0.322173,0.301987,0.285485,0.264207,0.262574,0.26262,0.351001,0.33144,0.277524,0.261728,0.246952,0.221047,0.221565,0.242406,0.246382,0.248755,0.247059,0.312879,0.242339,0.217244,0.240537,0.239393,0.302047,0.232289,0.229384,0.244482
"fea-spanish-silverck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00763,0.253699,0.249359,0.238544,0.243383,0.242575,0.283237,0.284057,0.292253,0.248544,0.240619,0.2536,0.263912,0.27359,0.265204,0.272102,0.256855,0.243691,0.272612,0.252663,0.266863,0.193761,0.265255,0.25168,0.209106,0.340028,0.328917,0.303207,0.287593,0.280373,0.272452,0.261578,0.359154,0.33983,0.29461,0.26021,0.258684,0.238596,0.242735,0.256728,0.254947,0.25705,0.2378,0.320228,0.253715,0.218507,0.243533,0.240427,0.315312,0.234315,0.236777,0.242946
"fea-spanishck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.247317,0.243142,0.23521,0.239221,0.233177,0.281545,0.27988,0.287137,0.243169,0.235678,0.249789,0.258435,0.258875,0.251238,0.263274,0.242309,0.242171,0.260901,0.245557,0.255667,0.196853,0.26448,0.24467,0.212698,0.330529,0.322579,0.295241,0.281983,0.268397,0.268256,0.260738,0.348619,0.33294,0.288986,0.255745,0.244819,0.230872,0.237528,0.235704,0.248353,0.243155,0.244492,0.316181,0.243293,0.214205,0.234219,0.235125,0.300345,0.231821,0.227299,0.235568
"mad-mapleck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078937,0.087096,0.057925,0.048107,0.271404,0.270936,0.275858,0.241693,0.244697,0.24173,0.259868,0.25711,0.252817,0.257147,0.239085,0.240028,0.269287,0.241549,0.251912,0.196103,0.265095,0.245861,0.252466,0.319076,0.310648,0.191119,0.146987,0.264312,0.27173,0.14355,0.334987,0.326837,0.290694,0.054877,0.249849,0.247166,0.244249,0.246803,0.250332,0.254549,0.149077,0.300695,0.244405,0.067882,0.068959,0.074201,0.309325,0.043103,0.051226,0.06613
"mad-redwoodck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020678,0.080516,0.081257,0.258419,0.261238,0.267898,0.235839,0.240815,0.235176,0.252101,0.253588,0.247272,0.252393,0.229138,0.233785,0.264177,0.237639,0.245533,0.198825,0.25622,0.238125,0.24256,0.311785,0.302709,0.201853,0.169063,0.252665,0.265364,0.147419,0.323478,0.313839,0.279385,0.088416,0.244316,0.238567,0.23554,0.244985,0.247783,0.251453,0.142621,0.290488,0.24071,0.075627,0.094409,0.096392,0.296901,0.072469,0.068839,0.101546
"mad-redwoodck2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.086067,0.080622,0.246335,0.248791,0.25813,0.221172,0.22616,0.221078,0.240352,0.238285,0.234943,0.238001,0.216218,0.219173,0.253643,0.223853,0.233111,0.191799,0.246174,0.221988,0.22774,0.307791,0.301547,0.20533,0.172792,0.240456,0.255654,0.144892,0.324819,0.315645,0.270435,0.090843,0.229801,0.222728,0.221217,0.232002,0.233417,0.238665,0.14633,0.290931,0.236418,0.07561,0.096956,0.099192,0.289509,0.077938,0.073586,0.098941
"mat-bearriver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033368,0.248973,0.254556,0.263365,0.228872,0.234024,0.228119,0.244601,0.249015,0.243333,0.247337,0.225312,0.226815,0.26086,0.231211,0.240569,0.186972,0.24746,0.229555,0.235524,0.309125,0.301984,0.187473,0.148153,0.246811,0.2594,0.131831,0.32595,0.315425,0.273856,0.050791,0.238507,0.23053,0.228126,0.243895,0.238856,0.246744,0.146036,0.288081,0.237515,0.069867,0.077905,0.08077,0.29493,0.0498,0.045293,0.085345
"mat-lowermattole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.259064,0.257847,0.267795,0.228752,0.234299,0.230662,0.25061,0.247424,0.245849,0.249195,0.23052,0.229531,0.261902,0.230817,0.242665,0.186724,0.250538,0.232289,0.233008,0.30754,0.301602,0.179099,0.137114,0.250973,0.2612,0.128995,0.329437,0.319421,0.27807,0.032981,0.24126,0.235715,0.234104,0.240733,0.242646,0.252217,0.138723,0.2881,0.233259,0.073298,0.073244,0.077542,0.297641,0.045378,0.046307,0.069907
"mfa-amec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.118582,0.132533,0.194225,0.201573,0.151512,0.16741,0.183045,0.183714,0.174287,0.143648,0.152325,0.20752,0.151114,0.173997,0.257295,0.165526,0.198448,0.220569,0.368365,0.356249,0.335977,0.314886,0.173417,0.192001,0.274376,0.376146,0.364292,0.17091,0.273803,0.206509,0.186761,0.181302,0.211164,0.208665,0.21678,0.281156,0.345592,0.309838,0.218732,0.250961,0.25703,0.258875,0.244244,0.239181,0.270462
