0.084609 0.372475	ala-arroyomocho.bear_100k.finalfstout
0.094612 0.398503	ala-arroyomocho.bear-grhn_100k.finalfstout
0.091734 0.396009	ala-arroyomocho.bear-sth2_100k.finalfstout
0.078428 0.383857	ala-arroyomocho.bear-stha_100k.finalfstout
0.117446 0.390239	ala-arroyomocho.bear-sthc_100k.finalfstout
0.089671 0.400274	ala-arroyomocho.deer-clec_100k.finalfstout
0.066314 0.303931	ala-arroyomocho.eel_100k.finalfstout
0.093684 0.441955	ala-arroyomocho.fea-beanck_100k.finalfstout
0.088710 0.449680	ala-arroyomocho.fea-spanish-bgulch_100k.finalfstout
0.117675 0.437894	ala-arroyomocho.fea-spanishck_100k.finalfstout
0.093935 0.430177	ala-arroyomocho.fea-spanish-silverck_100k.finalfstout
0.091718 0.318527	ala-arroyomocho.mad-mapleck_100k.finalfstout
0.049977 0.307086	ala-arroyomocho.mad-redwoodck_100k.finalfstout
0.056391 0.306359	ala-arroyomocho.mad-redwoodck2_100k.finalfstout
0.068760 0.312734	ala-arroyomocho.mat-bearriver_100k.finalfstout
0.080700 0.323767	ala-arroyomocho.mat-lowermattole_100k.finalfstout
0.084354 0.372584	ala-arroyomocho.mfa-amec_100k.finalfstout
0.091501 0.379808	ala-arroyomocho.mfa-gasc_100k.finalfstout
0.100642 0.386698	ala-arroyomocho.mfa-todc_100k.finalfstout
0.085543 0.388722	ala-arroyomocho.mfy-oregck_100k.finalfstout
0.123902 0.381747	ala-arroyomocho.mfy-us-oh_100k.finalfstout
0.108595 0.370667	ala-arroyomocho.nfa_100k.finalfstout
0.130055 0.385729	ala-arroyomocho.nfa-bunc_100k.finalfstout
0.089468 0.405282	ala-arroyomocho.nfa-euchds_100k.finalfstout
0.084224 0.410329	ala-arroyomocho.nfa-euchus_100k.finalfstout
0.139277 0.384814	ala-arroyomocho.nfa-indc_100k.finalfstout
0.087335 0.383790	ala-arroyomocho.nfa-pond_100k.finalfstout
0.084109 0.374715	ala-arroyomocho.nfa-robr_100k.finalfstout
0.092420 0.415059	ala-arroyomocho.nfa-saic_100k.finalfstout
0.126221 0.358702	ala-arroyomocho.nfa-shic_100k.finalfstout
0.108978 0.388841	ala-arroyomocho.nfa-slar_100k.finalfstout
0.089041 0.361736	ala-arroyomocho.nff-poe_100k.finalfstout
0.141187 0.403896	ala-arroyomocho.nfmfa-sc_100k.finalfstout
0.099263 0.394515	ala-arroyomocho.nfy_100k.finalfstout
0.119943 0.410361	ala-arroyomocho.nfy-slate-cgrav_100k.finalfstout
0.049484 0.197806	ala-arroyomocho.paj-clearck_100k.finalfstout
0.098370 0.200813	ala-arroyomocho.paj-sanbenito_100k.finalfstout
0.125942 0.408517	ala-arroyomocho.put-cold_100k.finalfstout
0.130210 0.373462	ala-arroyomocho.put-wildhorseck_100k.finalfstout
0.084518 0.410382	ala-arroyomocho.rub-lc-us_100k.finalfstout
0.139210 0.418923	ala-arroyomocho.rub-usph_100k.finalfstout
0.048144 0.322646	ala-arroyomocho.russ-mwsprngck_100k.finalfstout
0.122526 0.432463	ala-arroyomocho.salin-losburros_100k.finalfstout
0.117999 0.446813	ala-arroyomocho.sancarp-dutrack_100k.finalfstout
0.093404 0.427032	ala-arroyomocho.sfa-cami_100k.finalfstout
0.095715 0.317639	ala-arroyomocho.sfeel-cedar_100k.finalfstout
0.089059 0.413740	ala-arroyomocho.sfy-fallck_100k.finalfstout
0.086971 0.406971	ala-arroyomocho.sfy-loga_100k.finalfstout
0.087495 0.405994	ala-arroyomocho.sfy-misc_100k.finalfstout
0.064717 0.407036	ala-arroyomocho.sfy-rockck_100k.finalfstout
0.137124 0.391100	ala-arroyomocho.sfy-shadyck_100k.finalfstout
0.070743 0.411786	ala-arroyomocho.sfy-springck_100k.finalfstout
0.051167 0.330262	ala-arroyomocho.smith-hurdygurdyck_100k.finalfstout
0.094270 0.092075	ala-arroyomocho.soquel-ebsc_100k.finalfstout
0.085901 0.471946	ala-arroyomocho.ssantiam_100k.finalfstout
0.071235 0.298996	ala-arroyomocho.trin-sftrinity_100k.finalfstout
0.064719 0.314117	ala-arroyomocho.trin-sftrinity-sandybar_100k.finalfstout
0.077159 0.313741	ala-arroyomocho.trin-tishtang_100k.finalfstout
0.087638 0.472086	ala-arroyomocho.tuo-clavey_100k.finalfstout
0.063114 0.307948	ala-arroyomocho.vandz-dinsmore_100k.finalfstout
0.099060 0.331949	ala-arroyomocho.vandz-rootcreek_100k.finalfstout
0.082151 0.345116	ala-arroyomocho.vandz-shanty_100k.finalfstout
0.052757 0.062966	bear.bear-grhn_100k.finalfstout
0.046965 0.031316	bear.bear-sth2_100k.finalfstout
0.032147 0.034361	bear.bear-stha_100k.finalfstout
0.052643 0.026746	bear.bear-sthc_100k.finalfstout
0.050006 0.089593	bear.deer-clec_100k.finalfstout
0.046903 0.201381	bear.eel_100k.finalfstout
0.053253 0.251788	bear.fea-beanck_100k.finalfstout
0.061727 0.239200	bear.fea-spanish-bgulch_100k.finalfstout
0.068059 0.246857	bear.fea-spanishck_100k.finalfstout
0.073101 0.221628	bear.fea-spanish-silverck_100k.finalfstout
0.047686 0.056352	bear-grhn.bear-sth2_100k.finalfstout
0.071614 0.090009	bear-grhn.bear-stha_100k.finalfstout
0.031358 0.050680	bear-grhn.bear-sthc_100k.finalfstout
0.049604 0.088046	bear-grhn.deer-clec_100k.finalfstout
0.032872 0.209335	bear-grhn.eel_100k.finalfstout
0.027366 0.261328	bear-grhn.fea-beanck_100k.finalfstout
0.062668 0.259283	bear-grhn.fea-spanish-bgulch_100k.finalfstout
0.036462 0.259179	bear-grhn.fea-spanishck_100k.finalfstout
0.101252 0.250148	bear-grhn.fea-spanish-silverck_100k.finalfstout
0.054484 0.221643	bear-grhn.mad-mapleck_100k.finalfstout
0.019035 0.215974	bear-grhn.mad-redwoodck_100k.finalfstout
0.020012 0.201776	bear-grhn.mad-redwoodck2_100k.finalfstout
0.041952 0.215904	bear-grhn.mat-bearriver_100k.finalfstout
0.075634 0.225264	bear-grhn.mat-lowermattole_100k.finalfstout
0.066218 0.140378	bear-grhn.mfa-amec_100k.finalfstout
0.057308 0.117692	bear-grhn.mfa-gasc_100k.finalfstout
0.043104 0.126877	bear-grhn.mfa-todc_100k.finalfstout
0.025812 0.089098	bear-grhn.mfy-oregck_100k.finalfstout
0.040608 0.079842	bear-grhn.mfy-us-oh_100k.finalfstout
0.015037 0.052185	bear-grhn.nfa_100k.finalfstout
0.034805 0.064153	bear-grhn.nfa-bunc_100k.finalfstout
0.050946 0.076552	bear-grhn.nfa-euchds_100k.finalfstout
0.061865 0.082423	bear-grhn.nfa-euchus_100k.finalfstout
0.055393 0.056889	bear-grhn.nfa-indc_100k.finalfstout
0.063146 0.065338	bear-grhn.nfa-pond_100k.finalfstout
0.024620 0.057253	bear-grhn.nfa-robr_100k.finalfstout
0.048318 0.092338	bear-grhn.nfa-saic_100k.finalfstout
0.028349 0.049807	bear-grhn.nfa-shic_100k.finalfstout
0.047322 0.064113	bear-grhn.nfa-slar_100k.finalfstout
0.092661 0.203022	bear-grhn.nff-poe_100k.finalfstout
0.036714 0.104223	bear-grhn.nfmfa-sc_100k.finalfstout
0.031477 0.089594	bear-grhn.nfy_100k.finalfstout
0.146228 0.144858	bear-grhn.nfy-slate-cgrav_100k.finalfstout
0.081099 0.423742	bear-grhn.paj-clearck_100k.finalfstout
0.067045 0.429059	bear-grhn.paj-sanbenito_100k.finalfstout
0.070068 0.314376	bear-grhn.put-cold_100k.finalfstout
0.063675 0.279969	bear-grhn.put-wildhorseck_100k.finalfstout
0.045301 0.114588	bear-grhn.rub-lc-us_100k.finalfstout
0.059957 0.125090	bear-grhn.rub-usph_100k.finalfstout
0.029391 0.242493	bear-grhn.russ-mwsprngck_100k.finalfstout
0.075997 0.483972	bear-grhn.salin-losburros_100k.finalfstout
0.061759 0.497429	bear-grhn.sancarp-dutrack_100k.finalfstout
0.066151 0.272196	bear-grhn.sfa-cami_100k.finalfstout
0.041441 0.219756	bear-grhn.sfeel-cedar_100k.finalfstout
0.063347 0.095963	bear-grhn.sfy-fallck_100k.finalfstout
0.071785 0.086923	bear-grhn.sfy-loga_100k.finalfstout
0.053064 0.084663	bear-grhn.sfy-misc_100k.finalfstout
0.036506 0.094815	bear-grhn.sfy-rockck_100k.finalfstout
0.050949 0.085621	bear-grhn.sfy-shadyck_100k.finalfstout
0.055449 0.096819	bear-grhn.sfy-springck_100k.finalfstout
0.018969 0.245184	bear-grhn.smith-hurdygurdyck_100k.finalfstout
0.069609 0.400377	bear-grhn.soquel-ebsc_100k.finalfstout
0.060031 0.402485	bear-grhn.ssantiam_100k.finalfstout
0.073873 0.202214	bear-grhn.trin-sftrinity_100k.finalfstout
0.042739 0.207389	bear-grhn.trin-sftrinity-sandybar_100k.finalfstout
0.043484 0.207040	bear-grhn.trin-tishtang_100k.finalfstout
0.095248 0.363860	bear-grhn.tuo-clavey_100k.finalfstout
0.041049 0.208331	bear-grhn.vandz-dinsmore_100k.finalfstout
0.120189 0.230857	bear-grhn.vandz-rootcreek_100k.finalfstout
0.107704 0.242203	bear-grhn.vandz-shanty_100k.finalfstout
0.066255 0.211330	bear.mad-mapleck_100k.finalfstout
0.033715 0.211708	bear.mad-redwoodck_100k.finalfstout
0.035114 0.197114	bear.mad-redwoodck2_100k.finalfstout
0.052613 0.207481	bear.mat-bearriver_100k.finalfstout
0.067471 0.208840	bear.mat-lowermattole_100k.finalfstout
0.061918 0.133392	bear.mfa-amec_100k.finalfstout
0.057414 0.112266	bear.mfa-gasc_100k.finalfstout
0.060601 0.124836	bear.mfa-todc_100k.finalfstout
0.045427 0.094893	bear.mfy-oregck_100k.finalfstout
0.066582 0.082984	bear.mfy-us-oh_100k.finalfstout
0.044344 0.056173	bear.nfa_100k.finalfstout
0.066743 0.069843	bear.nfa-bunc_100k.finalfstout
0.050198 0.075241	bear.nfa-euchds_100k.finalfstout
0.048044 0.078371	bear.nfa-euchus_100k.finalfstout
0.078116 0.062475	bear.nfa-indc_100k.finalfstout
0.055255 0.065324	bear.nfa-pond_100k.finalfstout
0.040190 0.058233	bear.nfa-robr_100k.finalfstout
0.051097 0.086804	bear.nfa-saic_100k.finalfstout
0.059276 0.053948	bear.nfa-shic_100k.finalfstout
0.061128 0.065917	bear.nfa-slar_100k.finalfstout
0.070561 0.185267	bear.nff-poe_100k.finalfstout
0.076491 0.105596	bear.nfmfa-sc_100k.finalfstout
0.055260 0.097252	bear.nfy_100k.finalfstout
0.096547 0.123786	bear.nfy-slate-cgrav_100k.finalfstout
0.058895 0.388216	bear.paj-clearck_100k.finalfstout
0.091206 0.410293	bear.paj-sanbenito_100k.finalfstout
0.089676 0.302182	bear.put-cold_100k.finalfstout
0.089903 0.270993	bear.put-wildhorseck_100k.finalfstout
0.054243 0.113270	bear.rub-lc-us_100k.finalfstout
0.085375 0.122970	bear.rub-usph_100k.finalfstout
0.036875 0.233693	bear.russ-mwsprngck_100k.finalfstout
0.097452 0.463615	bear.salin-losburros_100k.finalfstout
0.094582 0.479646	bear.sancarp-dutrack_100k.finalfstout
0.067198 0.254363	bear.sfa-cami_100k.finalfstout
0.065327 0.212829	bear.sfeel-cedar_100k.finalfstout
0.055954 0.098417	bear.sfy-fallck_100k.finalfstout
0.054049 0.088451	bear.sfy-loga_100k.finalfstout
0.054079 0.091124	bear.sfy-misc_100k.finalfstout
0.029954 0.093261	bear.sfy-rockck_100k.finalfstout
0.078932 0.092291	bear.sfy-shadyck_100k.finalfstout
0.036555 0.094737	bear.sfy-springck_100k.finalfstout
0.030636 0.235172	bear.smith-hurdygurdyck_100k.finalfstout
0.095088 0.384465	bear.soquel-ebsc_100k.finalfstout
0.066683 0.378681	bear.ssantiam_100k.finalfstout
0.058587 0.057635	bear-sth2.bear-stha_100k.finalfstout
0.031674 0.019127	bear-sth2.bear-sthc_100k.finalfstout
0.049598 0.090788	bear-sth2.deer-clec_100k.finalfstout
0.035797 0.208111	bear-sth2.eel_100k.finalfstout
0.034119 0.260810	bear-sth2.fea-beanck_100k.finalfstout
0.064113 0.259789	bear-sth2.fea-spanish-bgulch_100k.finalfstout
0.045285 0.257262	bear-sth2.fea-spanishck_100k.finalfstout
0.095628 0.251015	bear-sth2.fea-spanish-silverck_100k.finalfstout
0.058099 0.221484	bear-sth2.mad-mapleck_100k.finalfstout
0.021945 0.215542	bear-sth2.mad-redwoodck_100k.finalfstout
0.022764 0.201104	bear-sth2.mad-redwoodck2_100k.finalfstout
0.044176 0.215037	bear-sth2.mat-bearriver_100k.finalfstout
0.073281 0.223831	bear-sth2.mat-lowermattole_100k.finalfstout
0.064694 0.140249	bear-sth2.mfa-amec_100k.finalfstout
0.057095 0.116830	bear-sth2.mfa-gasc_100k.finalfstout
0.047059 0.126097	bear-sth2.mfa-todc_100k.finalfstout
0.028860 0.089247	bear-sth2.mfy-oregck_100k.finalfstout
0.046851 0.081344	bear-sth2.mfy-us-oh_100k.finalfstout
0.019519 0.048932	bear-sth2.nfa_100k.finalfstout
0.041544 0.064098	bear-sth2.nfa-bunc_100k.finalfstout
0.047846 0.070790	bear-sth2.nfa-euchds_100k.finalfstout
0.055126 0.076066	bear-sth2.nfa-euchus_100k.finalfstout
0.060433 0.052677	bear-sth2.nfa-indc_100k.finalfstout
0.059446 0.061764	bear-sth2.nfa-pond_100k.finalfstout
0.026902 0.054979	bear-sth2.nfa-robr_100k.finalfstout
0.048923 0.087195	bear-sth2.nfa-saic_100k.finalfstout
0.034189 0.046815	bear-sth2.nfa-shic_100k.finalfstout
0.049650 0.058217	bear-sth2.nfa-slar_100k.finalfstout
0.087580 0.202889	bear-sth2.nff-poe_100k.finalfstout
