siteA,siteB,sitepair,siteida,siteidb,dist_km,fst_adj
sfa-cami,sfeel-cedar,sfa-cami_sfeel-cedar,E-1,NW-49,283.95,0.294927
sfa-cami,sfy-fallck,sfa-cami_sfy-fallck,E-1,NE-29,61.91,0.270738
sfa-cami,sfy-loga,sfa-cami_sfy-loga,E-1,NE-30,66.29,0.24975
sfa-cami,sfy-misc,sfa-cami_sfy-misc,E-1,NE-31,66.38,0.246352
sfa-cami,sfy-rockck,sfa-cami_sfy-rockck,E-1,NE-32,67.49,0.268584
sfa-cami,sfy-shadyck,sfa-cami_sfy-shadyck,E-1,NE-33,73.2,0.269911
sfa-cami,sfy-springck,sfa-cami_sfy-springck,E-1,NE-34,67.85,0.272073
sfa-cami,smith-hurdygurdyck,sfa-cami_smith-hurdygurdyck,E-1,NW-50,427.21,0.296895
sfa-cami,soquel-ebsc,sfa-cami_soquel-ebsc,E-1,W-63,226.45,0.340481
sfa-cami,ssantiam,sfa-cami_ssantiam,E-1,NW-51,640.17,0.303622
sfa-cami,trin-sftrinity,sfa-cami_trin-sftrinity,E-1,NW-52,336.34,0.24865
sfa-cami,trin-sftrinity-sandybar,sfa-cami_trin-sftrinity-sandybar,E-1,NW-53,346.22,0.274776
sfa-cami,trin-tishtang,sfa-cami_trin-tishtang,E-1,NW-54,358.46,0.280234
sfa-cami,tuo-clavey,sfa-cami_tuo-clavey,E-1,E-2,112.52,0.205438
sfa-cami,vandz-dinsmore,sfa-cami_vandz-dinsmore,E-1,NW-55,318.57,0.269737
sfa-cami,vandz-rootcreek,sfa-cami_vandz-rootcreek,E-1,NW-56,342.49,0.264765
sfa-cami,vandz-shanty,sfa-cami_vandz-shanty,E-1,NW-57,305.63,0.290001
tuo-clavey,vandz-dinsmore,tuo-clavey_vandz-dinsmore,E-2,NW-55,418.29,0.28729
tuo-clavey,vandz-rootcreek,tuo-clavey_vandz-rootcreek,E-2,NW-56,439.44,0.276665
tuo-clavey,vandz-shanty,tuo-clavey_vandz-shanty,E-2,NW-57,404.6,0.313284
bear,bear-grhn,bear_bear-grhn,NE-3,NE-4,6.36,0.097707
bear,bear-sth2,bear_bear-sth2,NE-3,NE-5,2.41,0.04392
bear,bear-stha,bear_bear-stha,NE-3,NE-6,1.5,0.048547
bear,bear-sthc,bear_bear-sthc,NE-3,NE-7,3.71,0.033896
bear,deer-clec,bear_deer-clec,NE-3,NE-8,20.86,0.126619
bear,eel,bear_eel,NE-3,NW-40,261.12,0.222916
bear,fea-beanck,bear_fea-beanck,NE-3,N-Fea-35,89.49,0.204699
bear,fea-spanish-bgulch,bear_fea-spanish-bgulch,NE-3,N-Fea-36,88.08,0.210501
bear,fea-spanishck,bear_fea-spanishck,NE-3,N-Fea-38,86.42,0.212051
bear,fea-spanish-silverck,bear_fea-spanish-silverck,NE-3,N-Fea-37,86.23,0.207047
bear-grhn,bear-sth2,bear-grhn_bear-sth2,NE-4,NE-5,4.35,0.084334
bear-grhn,bear-stha,bear-grhn_bear-stha,NE-4,NE-6,4.87,0.164669
bear-grhn,bear-sthc,bear-grhn_bear-sthc,NE-4,NE-7,4.02,0.083334
bear-grhn,deer-clec,bear-grhn_deer-clec,NE-4,NE-8,21.36,0.128901
bear-grhn,eel,bear-grhn_eel,NE-4,NW-40,258.12,0.243573
bear-grhn,fea-beanck,bear-grhn_fea-beanck,NE-4,N-Fea-35,83.21,0.240711
bear-grhn,fea-spanish-bgulch,bear-grhn_fea-spanish-bgulch,NE-4,N-Fea-36,81.81,0.24415
bear-grhn,fea-spanishck,bear-grhn_fea-spanishck,NE-4,N-Fea-38,80.1,0.253325
bear-grhn,fea-spanish-silverck,bear-grhn_fea-spanish-silverck,NE-4,N-Fea-37,79.96,0.261465
bear-grhn,mad-mapleck,bear-grhn_mad-mapleck,NE-4,NW-41,306.81,0.257013
bear-grhn,mad-redwoodck,bear-grhn_mad-redwoodck,NE-4,NW-42,343.72,0.248397
bear-grhn,mad-redwoodck2,bear-grhn_mad-redwoodck2,NE-4,NW-43,345.95,0.237677
bear-grhn,mat-bearriver,bear-grhn_mat-bearriver,NE-4,NW-44,326.4,0.242475
bear-grhn,mat-lowermattole,bear-grhn_mat-lowermattole,NE-4,NW-45,313.58,0.249466
bear-grhn,mfa-amec,bear-grhn_mfa-amec,NE-4,NE-9,33.29,0.186478
bear-grhn,mfa-gasc,bear-grhn_mfa-gasc,NE-4,NE-10,29.6,0.167294
bear-grhn,mfa-todc,bear-grhn_mfa-todc,NE-4,NE-11,29.83,0.181777
bear-grhn,mfy-oregck,bear-grhn_mfy-oregck,NE-4,NE-12,26.88,0.140759
bear-grhn,mfy-us-oh,bear-grhn_mfy-us-oh,NE-4,NE-13,21.49,0.126957
bear-grhn,nfa,bear-grhn_nfa,NE-4,NE-14,13.49,0.091859
bear-grhn,nfa-bunc,bear-grhn_nfa-bunc,NE-4,NE-15,21.6,0.10483
bear-grhn,nfa-euchds,bear-grhn_nfa-euchds,NE-4,NE-16,13.16,0.117072
bear-grhn,nfa-euchus,bear-grhn_nfa-euchus,NE-4,NE-17,14.11,0.116429
bear-grhn,nfa-indc,bear-grhn_nfa-indc,NE-4,NE-18,19.48,0.102633
bear-grhn,nfa-pond,bear-grhn_nfa-pond,NE-4,NE-19,25.99,0.094678
bear-grhn,nfa-robr,bear-grhn_nfa-robr,NE-4,NE-20,14.32,0.09507
bear-grhn,nfa-saic,bear-grhn_nfa-saic,NE-4,NE-21,35.09,0.141592
bear-grhn,nfa-shic,bear-grhn_nfa-shic,NE-4,NE-22,20.83,0.089796
bear-grhn,nfa-slar,bear-grhn_nfa-slar,NE-4,NE-23,14.95,0.1049
bear-grhn,nff-poe,bear-grhn_nff-poe,NE-4,N-Fea-39,74.3,0.232242
bear-grhn,nfmfa-sc,bear-grhn_nfmfa-sc,NE-4,NE-24,27.3,0.15395
bear-grhn,nfy,bear-grhn_nfy,NE-4,NE-25,31.74,0.138699
bear-grhn,nfy-slate-cgrav,bear-grhn_nfy-slate-cgrav,NE-4,NE-26,50.85,0.189947
bear-grhn,paj-clearck,bear-grhn_paj-clearck,NE-4,W-61,317.86,0.370712
bear-grhn,paj-sanbenito,bear-grhn_paj-sanbenito,NE-4,W-62,321.53,0.354325
bear-grhn,put-cold,bear-grhn_put-cold,NE-4,NW-46,132.01,0.318332
bear-grhn,put-wildhorseck,bear-grhn_put-wildhorseck,NE-4,NW-47,132.03,0.30061
bear-grhn,rub-lc-us,bear-grhn_rub-lc-us,NE-4,NE-27,32.63,0.164615
bear-grhn,rub-usph,bear-grhn_rub-usph,NE-4,NE-28,30.11,0.173007
bear-grhn,russ-mwsprngck,bear-grhn_russ-mwsprngck,NE-4,NW-48,174.2,0.27718
bear-grhn,salin-losburros,bear-grhn_salin-losburros,NE-4,SW-58,375.04,0.379721
bear-grhn,sancarp-dutrack,bear-grhn_sancarp-dutrack,NE-4,SW-59,382.24,0.369607
bear-grhn,sfa-cami,bear-grhn_sfa-cami,NE-4,E-1,54.43,0.258331
bear-grhn,sfeel-cedar,bear-grhn_sfeel-cedar,NE-4,NW-49,242.35,0.264509
bear-grhn,sfy-fallck,bear-grhn_sfy-fallck,NE-4,NE-29,19.74,0.142785
bear-grhn,sfy-loga,bear-grhn_sfy-loga,NE-4,NE-30,15.8,0.117936
bear-grhn,sfy-misc,bear-grhn_sfy-misc,NE-4,NE-31,14.42,0.115166
bear-grhn,sfy-rockck,bear-grhn_sfy-rockck,NE-4,NE-32,13.07,0.128341
bear-grhn,sfy-shadyck,bear-grhn_sfy-shadyck,NE-4,NE-33,19.18,0.135489
bear-grhn,sfy-springck,bear-grhn_sfy-springck,NE-4,NE-34,13.43,0.133814
bear-grhn,smith-hurdygurdyck,bear-grhn_smith-hurdygurdyck,NE-4,NW-50,373.64,0.272984
bear-grhn,soquel-ebsc,bear-grhn_soquel-ebsc,NE-4,W-63,255.94,0.34307
bear-grhn,ssantiam,bear-grhn_ssantiam,NE-4,NW-51,588.05,0.301654
bear-grhn,trin-sftrinity,bear-grhn_trin-sftrinity,NE-4,NW-52,284.91,0.223788
bear-grhn,trin-sftrinity-sandybar,bear-grhn_trin-sftrinity-sandybar,NE-4,NW-53,294.5,0.241032
bear-grhn,trin-tishtang,bear-grhn_trin-tishtang,NE-4,NW-54,306.2,0.244204
bear-grhn,tuo-clavey,bear-grhn_tuo-clavey,NE-4,E-2,166.45,0.320602
bear-grhn,vandz-dinsmore,bear-grhn_vandz-dinsmore,NE-4,NW-55,269.07,0.238689
bear-grhn,vandz-rootcreek,bear-grhn_vandz-rootcreek,NE-4,NW-56,294.28,0.234623
bear-grhn,vandz-shanty,bear-grhn_vandz-shanty,NE-4,NW-57,256.67,0.26124000000000003
bear,mad-mapleck,bear_mad-mapleck,NE-3,NW-41,310.65,0.236473
bear,mad-redwoodck,bear_mad-redwoodck,NE-3,NW-42,348.03,0.23094
bear,mad-redwoodck2,bear_mad-redwoodck2,NE-3,NW-43,350.28,0.216125
bear,mat-bearriver,bear_mat-bearriver,NE-3,NW-44,329.38,0.224441
bear,mat-lowermattole,bear_mat-lowermattole,NE-3,NW-45,316.34,0.223872
bear,mfa-amec,bear_mfa-amec,NE-3,NE-9,27.01,0.168621
bear,mfa-gasc,bear_mfa-gasc,NE-3,NE-10,23.3,0.154439
bear,mfa-todc,bear_mfa-todc,NE-3,NE-11,23.5,0.170355
bear,mfy-oregck,bear_mfy-oregck,NE-3,NE-12,32.62,0.131404
bear,mfy-us-oh,bear_mfy-us-oh,NE-3,NE-13,27.58,0.120016
bear,nfa,bear_nfa,NE-3,NE-14,7.22,0.088188
bear,nfa-bunc,bear_nfa-bunc,NE-3,NE-15,15.26,0.106769
bear,nfa-euchds,bear_nfa-euchds,NE-3,NE-16,11.95,0.117287
bear,nfa-euchus,bear_nfa-euchus,NE-3,NE-17,12.94,0.117764
bear,nfa-indc,bear_nfa-indc,NE-3,NE-18,13.14,0.105765
bear,nfa-pond,bear_nfa-pond,NE-3,NE-19,19.73,0.09848
bear,nfa-robr,bear_nfa-robr,NE-3,NE-20,8.15,0.087723
