siteA,siteB,sitepair,siteida,siteidb,dist_km,fst_adj
bear,nfa-saic,bear_nfa-saic,NE-3,NE-21,35.2,0.136997
bear,nfa-shic,bear_nfa-shic,NE-3,NE-22,14.47,0.088285
bear,nfa-slar,bear_nfa-slar,NE-3,NE-23,8.75,0.104254
bear,nff-poe,bear_nff-poe,NE-3,N-Fea-39,79.32,0.203693
bear,nfmfa-sc,bear_nfmfa-sc,NE-3,NE-24,22.02,0.142047
bear,nfy,bear_nfy,NE-3,NE-25,38.01,0.136879
bear,nfy-slate-cgrav,bear_nfy-slate-cgrav,NE-3,NE-26,57.2,0.144102
bear,paj-clearck,bear_paj-clearck,NE-3,W-61,311.51,0.335165
bear,paj-sanbenito,bear_paj-sanbenito,NE-3,W-62,315.18,0.326176
bear,put-cold,bear_put-cold,NE-3,NW-46,128.37,0.2976
bear,put-wildhorseck,bear_put-wildhorseck,NE-3,NW-47,128.32,0.281703
bear,rub-lc-us,bear_rub-lc-us,NE-3,NE-27,27.49,0.158851
bear,rub-usph,bear_rub-usph,NE-3,NE-28,24.76,0.160941
bear,russ-mwsprngck,bear_russ-mwsprngck,NE-3,NW-48,171.75,0.25108
bear,salin-losburros,bear_salin-losburros,NE-3,SW-58,368.74,0.350573
bear,sancarp-dutrack,bear_sancarp-dutrack,NE-3,SW-59,375.93,0.339644
bear,sfa-cami,bear_sfa-cami,NE-3,E-1,49,0.235339
bear,sfeel-cedar,bear_sfeel-cedar,NE-3,NW-49,244.22,0.243625
bear,sfy-fallck,bear_sfy-fallck,NE-3,NE-29,24.47,0.140033
bear,sfy-loga,bear_sfy-loga,NE-3,NE-30,21.95,0.116204
bear,sfy-misc,bear_sfy-misc,NE-3,NE-31,20.72,0.119691
bear,sfy-rockck,bear_sfy-rockck,NE-3,NE-32,18.76,0.131832
bear,sfy-shadyck,bear_sfy-shadyck,NE-3,NE-33,24.21,0.13500499999999999
bear,sfy-springck,bear_sfy-springck,NE-3,NE-34,19.11,0.135584
bear,smith-hurdygurdyck,bear_smith-hurdygurdyck,NE-3,NW-50,378.5,0.236659
bear,soquel-ebsc,bear_soquel-ebsc,NE-3,W-63,250.08,0.318336
bear,ssantiam,bear_ssantiam,NE-3,NW-51,594.27,0.273133
bear-sth2,bear-stha,bear-sth2_bear-stha,NE-5,NE-6,1.12,0.11616
bear-sth2,bear-sthc,bear-sth2_bear-sthc,NE-5,NE-7,1.38,0.021609
bear-sth2,deer-clec,bear-sth2_deer-clec,NE-5,NE-8,21.91,0.12609
bear-sth2,eel,bear-sth2_eel,NE-5,NW-40,261.06,0.237296
bear-sth2,fea-beanck,bear-sth2_fea-beanck,NE-5,N-Fea-35,87.54,0.234536
bear-sth2,fea-spanish-bgulch,bear-sth2_fea-spanish-bgulch,NE-5,N-Fea-36,86.14,0.244002
bear-sth2,fea-spanishck,bear-sth2_fea-spanishck,NE-5,N-Fea-38,84.4,0.243901
bear-sth2,fea-spanish-silverck,bear-sth2_fea-spanish-silverck,NE-5,N-Fea-37,84.3,0.257721
bear-sth2,mad-mapleck,bear-sth2_mad-mapleck,NE-5,NW-41,310.22,0.250821
bear-sth2,mad-redwoodck,bear-sth2_mad-redwoodck,NE-5,NW-42,347.38,0.242345
bear-sth2,mad-redwoodck2,bear-sth2_mad-redwoodck2,NE-5,NW-43,349.61,0.229677
bear-sth2,mat-bearriver,bear-sth2_mat-bearriver,NE-5,NW-44,329.33,0.237117
bear-sth2,mat-lowermattole,bear-sth2_mat-lowermattole,NE-5,NW-45,316.38,0.240297
bear-sth2,mfa-amec,bear-sth2_mfa-amec,NE-5,NE-9,29.32,0.181381
bear-sth2,mfa-gasc,bear-sth2_mfa-gasc,NE-5,NE-10,25.6,0.165792
bear-sth2,mfa-todc,bear-sth2_mfa-todc,NE-5,NE-11,25.77,0.177774
bear-sth2,mfy-oregck,bear-sth2_mfy-oregck,NE-5,NE-12,31.13,0.133374
bear-sth2,mfy-us-oh,bear-sth2_mfy-us-oh,NE-5,NE-13,25.83,0.123468
bear-sth2,nfa,bear-sth2_nfa,NE-5,NE-14,9.58,0.082245
bear-sth2,nfa-bunc,bear-sth2_nfa-bunc,NE-5,NE-15,17.52,0.104122
bear-sth2,nfa-euchds,bear-sth2_nfa-euchds,NE-5,NE-16,10.91,0.097948
bear-sth2,nfa-euchus,bear-sth2_nfa-euchus,NE-5,NE-17,11.91,0.102854
bear-sth2,nfa-indc,bear-sth2_nfa-indc,NE-5,NE-18,15.4,0.086863
bear-sth2,nfa-pond,bear-sth2_nfa-pond,NE-5,NE-19,22.07,0.082452
bear-sth2,nfa-robr,bear-sth2_nfa-robr,NE-5,NE-20,10.54,0.084381
bear-sth2,nfa-saic,bear-sth2_nfa-saic,NE-5,NE-21,33.94,0.131424
bear-sth2,nfa-shic,bear-sth2_nfa-shic,NE-5,NE-22,16.68,0.079143
bear-sth2,nfa-slar,bear-sth2_nfa-slar,NE-5,NE-23,11.12,0.088982
bear-sth2,nff-poe,bear-sth2_nff-poe,NE-5,N-Fea-39,78.28,0.232154
bear-sth2,nfmfa-sc,bear-sth2_nfmfa-sc,NE-5,NE-24,23.13,0.145469
bear-sth2,nfy,bear-sth2_nfy,NE-5,NE-25,36.08,0.138603
bear-sth2,nfy-slate-cgrav,bear-sth2_nfy-slate-cgrav,NE-5,NE-26,55.1,0.184093
bear-sth2,paj-clearck,bear-sth2_paj-clearck,NE-5,W-61,313.64,0.360776
bear-sth2,paj-sanbenito,bear-sth2_paj-sanbenito,NE-5,W-62,317.28,0.346264
bear-sth2,put-cold,bear-sth2_put-cold,NE-5,NW-46,130.48,0.308649
bear-sth2,put-wildhorseck,bear-sth2_put-wildhorseck,NE-5,NW-47,130.45,0.292578
bear-sth2,rub-lc-us,bear-sth2_rub-lc-us,NE-5,NE-27,28.53,0.145076
bear-sth2,rub-usph,bear-sth2_rub-usph,NE-5,NE-28,25.92,0.158231
bear-sth2,russ-mwsprngck,bear-sth2_russ-mwsprngck,NE-5,NW-48,173.57,0.267777
bear-sth2,salin-losburros,bear-sth2_salin-losburros,NE-5,SW-58,371,0.368445
bear-sth2,sancarp-dutrack,bear-sth2_sancarp-dutrack,NE-5,SW-59,378.2,0.358392
bear-sth2,sfa-cami,bear-sth2_sfa-cami,NE-5,E-1,50.24,0.251498
bear-sth2,sfeel-cedar,bear-sth2_sfeel-cedar,NE-5,NW-49,244.62,0.254813
bear-sth2,sfy-fallck,bear-sth2_sfy-fallck,NE-5,NE-29,22.1,0.135888
bear-sth2,sfy-loga,bear-sth2_sfy-loga,NE-5,NE-30,19.63,0.121912
bear-sth2,sfy-misc,bear-sth2_sfy-misc,NE-5,NE-31,18.5,0.122992
bear-sth2,sfy-rockck,bear-sth2_sfy-rockck,NE-5,NE-32,17.27,0.117847
bear-sth2,sfy-shadyck,bear-sth2_sfy-shadyck,NE-5,NE-33,23.1,0.132575
bear-sth2,sfy-springck,bear-sth2_sfy-springck,NE-5,NE-34,17.63,0.132469
bear-sth2,smith-hurdygurdyck,bear-sth2_smith-hurdygurdyck,NE-5,NW-50,377.56,0.264976
bear-sth2,soquel-ebsc,bear-sth2_soquel-ebsc,NE-5,W-63,252.48,0.335332
bear-sth2,ssantiam,bear-sth2_ssantiam,NE-5,NW-51,592.4,0.290205
bear-sth2,trin-sftrinity,bear-sth2_trin-sftrinity,NE-5,NW-52,288.46,0.213725
bear-sth2,trin-sftrinity-sandybar,bear-sth2_trin-sftrinity-sandybar,NE-5,NW-53,298.1,0.230689
bear-sth2,trin-tishtang,bear-sth2_trin-tishtang,NE-5,NW-54,309.89,0.236137
bear-sth2,tuo-clavey,bear-sth2_tuo-clavey,NE-5,E-2,162.15,0.308172
bear-sth2,vandz-dinsmore,bear-sth2_vandz-dinsmore,NE-5,NW-55,272.34,0.231858
bear-sth2,vandz-rootcreek,bear-sth2_vandz-rootcreek,NE-5,NW-56,297.39,0.227186
bear-sth2,vandz-shanty,bear-sth2_vandz-shanty,NE-5,NW-57,259.86,0.253915
bear-stha,bear-sthc,bear-stha_bear-sthc,NE-6,NE-7,2.5,0.108916
bear-stha,deer-clec,bear-stha_deer-clec,NE-6,NE-8,20.99,0.186192
bear-stha,eel,bear-stha_eel,NE-6,NW-40,260.57,0.259219
bear-stha,fea-beanck,bear-stha_fea-beanck,NE-6,N-Fea-35,88.04,0.242277
bear-stha,fea-spanish-bgulch,bear-stha_fea-spanish-bgulch,NE-6,N-Fea-36,86.64,0.254058
bear-stha,fea-spanishck,bear-stha_fea-spanishck,NE-6,N-Fea-38,84.95,0.237074
bear-stha,fea-spanish-silverck,bear-stha_fea-spanish-silverck,NE-6,N-Fea-37,84.78,0.226864
bear-stha,mad-mapleck,bear-stha_mad-mapleck,NE-6,NW-41,309.89,0.27647
bear-stha,mad-redwoodck,bear-stha_mad-redwoodck,NE-6,NW-42,347.15,0.275396
bear-stha,mad-redwoodck2,bear-stha_mad-redwoodck2,NE-6,NW-43,349.4,0.258653
bear-stha,mat-bearriver,bear-stha_mat-bearriver,NE-6,NW-44,328.84,0.272254
bear-stha,mat-lowermattole,bear-stha_mat-lowermattole,NE-6,NW-45,315.85,0.264143
bear-stha,mfa-amec,bear-stha_mfa-amec,NE-6,NE-9,28.51,0.238491
bear-stha,mfa-gasc,bear-stha_mfa-gasc,NE-6,NE-10,24.81,0.209797
bear-stha,mfa-todc,bear-stha_mfa-todc,NE-6,NE-11,25,0.231263
bear-stha,mfy-oregck,bear-stha_mfy-oregck,NE-6,NE-12,31.33,0.194651
bear-stha,mfy-us-oh,bear-stha_mfy-us-oh,NE-6,NE-13,26.19,0.162367
bear-stha,nfa,bear-stha_nfa,NE-6,NE-14,8.72,0.15697
bear-stha,nfa-bunc,bear-stha_nfa-bunc,NE-6,NE-15,16.76,0.171967
bear-stha,nfa-euchds,bear-stha_nfa-euchds,NE-6,NE-16,11.76,0.17796
bear-stha,nfa-euchus,bear-stha_nfa-euchus,NE-6,NE-17,12.76,0.180525
bear-stha,nfa-indc,bear-stha_nfa-indc,NE-6,NE-18,14.65,0.166094
bear-stha,nfa-pond,bear-stha_nfa-pond,NE-6,NE-19,21.23,0.173503
bear-stha,nfa-robr,bear-stha_nfa-robr,NE-6,NE-20,9.63,0.151566
bear-stha,nfa-saic,bear-stha_nfa-saic,NE-6,NE-21,34.88,0.184241
bear-stha,nfa-shic,bear-stha_nfa-shic,NE-6,NE-22,15.97,0.140787
bear-stha,nfa-slar,bear-stha_nfa-slar,NE-6,NE-23,10.23,0.166036
bear-stha,nff-poe,bear-stha_nff-poe,NE-6,N-Fea-39,78.24,0.238317
bear-stha,nfmfa-sc,bear-stha_nfmfa-sc,NE-6,NE-24,23.1,0.207034
bear-stha,nfy,bear-stha_nfy,NE-6,NE-25,36.57,0.204601
bear-stha,nfy-slate-cgrav,bear-stha_nfy-slate-cgrav,NE-6,NE-26,55.71,0.181809
bear-stha,paj-clearck,bear-stha_paj-clearck,NE-6,W-61,313,0.37875
bear-stha,paj-sanbenito,bear-stha_paj-sanbenito,NE-6,W-62,316.66,0.366718
bear-stha,put-cold,bear-stha_put-cold,NE-6,NW-46,129.36,0.338827
bear-stha,put-wildhorseck,bear-stha_put-wildhorseck,NE-6,NW-47,129.33,0.319979
bear-stha,rub-lc-us,bear-stha_rub-lc-us,NE-6,NE-27,28.54,0.228317
bear-stha,rub-usph,bear-stha_rub-usph,NE-6,NE-28,25.87,0.216391
bear-stha,russ-mwsprngck,bear-stha_russ-mwsprngck,NE-6,NW-48,172.48,0.291529
bear-stha,salin-losburros,bear-stha_salin-losburros,NE-6,SW-58,370.24,0.392491
bear-stha,sancarp-dutrack,bear-stha_sancarp-dutrack,NE-6,SW-59,377.44,0.380322
bear-stha,sfa-cami,bear-stha_sfa-cami,NE-6,E-1,50.15,0.286908
bear-stha,sfeel-cedar,bear-stha_sfeel-cedar,NE-6,NW-49,243.95,0.28245
bear-stha,sfy-fallck,bear-stha_sfy-fallck,NE-6,NE-29,23.17,0.205679
bear-stha,sfy-loga,bear-stha_sfy-loga,NE-6,NE-30,20.45,0.185333
bear-stha,sfy-misc,bear-stha_sfy-misc,NE-6,NE-31,19.22,0.195297
bear-stha,sfy-rockck,bear-stha_sfy-rockck,NE-6,NE-32,17.46,0.188552
bear-stha,sfy-shadyck,bear-stha_sfy-shadyck,NE-6,NE-33,23.07,0.189822
bear-stha,sfy-springck,bear-stha_sfy-springck,NE-6,NE-34,17.81,0.192017
bear-stha,smith-hurdygurdyck,bear-stha_smith-hurdygurdyck,NE-6,NW-50,377.48,0.267054
bear-stha,soquel-ebsc,bear-stha_soquel-ebsc,NE-6,W-63,251.53,0.359562
bear-stha,ssantiam,bear-stha_ssantiam,NE-6,NW-51,592.85,0.317638
bear-stha,trin-sftrinity,bear-stha_trin-sftrinity,NE-6,NW-52,288.19,0.247313
bear-stha,trin-sftrinity-sandybar,bear-stha_trin-sftrinity-sandybar,NE-6,NW-53,297.85,0.268784
bear-stha,trin-tishtang,bear-stha_trin-tishtang,NE-6,NW-54,309.67,0.267552
bear-stha,tuo-clavey,bear-stha_tuo-clavey,NE-6,E-2,161.91,0.338483
bear-stha,vandz-dinsmore,bear-stha_vandz-dinsmore,NE-6,NW-55,271.96,0.26581
bear-stha,vandz-rootcreek,bear-stha_vandz-rootcreek,NE-6,NW-56,296.95,0.270363
bear-stha,vandz-shanty,bear-stha_vandz-shanty,NE-6,NW-57,259.45,0.264748
bear-sthc,deer-clec,bear-sthc_deer-clec,NE-7,NE-8,23.05,0.128691
bear-sthc,eel,bear-sthc_eel,NE-7,NW-40,261.63,0.241395
bear-sthc,fea-beanck,bear-sthc_fea-beanck,NE-7,N-Fea-35,86.9,0.236557
bear-sthc,fea-spanish-bgulch,bear-sthc_fea-spanish-bgulch,NE-7,N-Fea-36,85.51,0.238854
bear-sthc,fea-spanishck,bear-sthc_fea-spanishck,NE-7,N-Fea-38,83.71,0.249623
bear-sthc,fea-spanish-silverck,bear-sthc_fea-spanish-silverck,NE-7,N-Fea-37,83.67,0.254075
bear-sthc,mad-mapleck,bear-sthc_mad-mapleck,NE-7,NW-41,310.58,0.253621
bear-sthc,mad-redwoodck,bear-sthc_mad-redwoodck,NE-7,NW-42,347.62,0.246186
bear-sthc,mad-redwoodck2,bear-sthc_mad-redwoodck2,NE-7,NW-43,349.84,0.233809
bear-sthc,mat-bearriver,bear-sthc_mat-bearriver,NE-7,NW-44,329.91,0.240577
bear-sthc,mat-lowermattole,bear-sthc_mat-lowermattole,NE-7,NW-45,317.01,0.243375
bear-sthc,mfa-amec,bear-sthc_mfa-amec,NE-7,NE-9,30.37,0.173305
bear-sthc,mfa-gasc,bear-sthc_mfa-gasc,NE-7,NE-10,26.64,0.158375
bear-sthc,mfa-todc,bear-sthc_mfa-todc,NE-7,NE-11,26.77,0.176362
bear-sthc,mfy-oregck,bear-sthc_mfy-oregck,NE-7,NE-12,30.89,0.135469
bear-sthc,mfy-us-oh,bear-sthc_mfy-us-oh,NE-7,NE-13,25.41,0.130308
bear-sthc,nfa,bear-sthc_nfa,NE-7,NE-14,10.74,0.083398
bear-sthc,nfa-bunc,bear-sthc_nfa-bunc,NE-7,NE-15,18.53,0.10327
bear-sthc,nfa-euchds,bear-sthc_nfa-euchds,NE-7,NE-16,9.98,0.113081
bear-sthc,nfa-euchus,bear-sthc_nfa-euchus,NE-7,NE-17,10.97,0.111722
bear-sthc,nfa-indc,bear-sthc_nfa-indc,NE-7,NE-18,16.42,0.096433
bear-sthc,nfa-pond,bear-sthc_nfa-pond,NE-7,NE-19,23.16,0.091551
bear-sthc,nfa-robr,bear-sthc_nfa-robr,NE-7,NE-20,11.73,0.086231
bear-sthc,nfa-saic,bear-sthc_nfa-saic,NE-7,NE-21,32.81,0.137965
bear-sthc,nfa-shic,bear-sthc_nfa-shic,NE-7,NE-22,17.65,0.085214
bear-sthc,nfa-slar,bear-sthc_nfa-slar,NE-7,NE-23,12.3,0.098731
bear-sthc,nff-poe,bear-sthc_nff-poe,NE-7,N-Fea-39,78.3,0.228703
bear-sthc,nfmfa-sc,bear-sthc_nfmfa-sc,NE-7,NE-24,23.29,0.146496
bear-sthc,nfy,bear-sthc_nfy,NE-7,NE-25,35.48,0.136458
bear-sthc,nfy-slate-cgrav,bear-sthc_nfy-slate-cgrav,NE-7,NE-26,54.32,0.176705
bear-sthc,paj-clearck,bear-sthc_paj-clearck,NE-7,W-61,314.47,0.360315
bear-sthc,paj-sanbenito,bear-sthc_paj-sanbenito,NE-7,W-62,318.09,0.348845
bear-sthc,put-cold,bear-sthc_put-cold,NE-7,NW-46,131.86,0.317998
bear-sthc,put-wildhorseck,bear-sthc_put-wildhorseck,NE-7,NW-47,131.83,0.299864
bear-sthc,rub-lc-us,bear-sthc_rub-lc-us,NE-7,NE-27,28.61,0.1544
bear-sthc,rub-usph,bear-sthc_rub-usph,NE-7,NE-28,26.1,0.166684
bear-sthc,russ-mwsprngck,bear-sthc_russ-mwsprngck,NE-7,NW-48,174.9,0.27099
bear-sthc,salin-losburros,bear-sthc_salin-losburros,NE-7,SW-58,371.98,0.371957
bear-sthc,sancarp-dutrack,bear-sthc_sancarp-dutrack,NE-7,SW-59,379.17,0.3625
bear-sthc,sfa-cami,bear-sthc_sfa-cami,NE-7,E-1,50.42,0.24898
bear-sthc,sfeel-cedar,bear-sthc_sfeel-cedar,NE-7,NW-49,245.42,0.259157
bear-sthc,sfy-fallck,bear-sthc_sfy-fallck,NE-7,NE-29,20.76,0.138693
bear-sthc,sfy-loga,bear-sthc_sfy-loga,NE-7,NE-30,18.63,0.114883
bear-sthc,sfy-misc,bear-sthc_sfy-misc,NE-7,NE-31,17.62,0.116384
