#id tw tp tD ns
results_thetas/salin-losburros_25k_gw_thetasWin.gz.pestPG 0.0058987 0.00647442 -0.034984 2965911
results_thetas/sancarp-dutrack_25k_gw_thetasWin.gz.pestPG 0.00602253 0.00634585 -0.0495763 2892914
results_thetas/sancarp-sancarpoforock_25k_gw_thetasWin.gz.pestPG 0.00646129 0.00688787 -inf 2629286
results_thetas/sfa-cami_25k_gw_thetasWin.gz.pestPG 0.00632017 0.00678244 -0.0434152 2995256
results_thetas/sfeel_25k_gw_thetasWin.gz.pestPG 0.0165573 0.0165573 0 1702432
results_thetas/sfeel-cedar_25k_gw_thetasWin.gz.pestPG 0.00834607 0.00806288 -0.0670951 3009522
results_thetas/sfeel-elder_25k_gw_thetasWin.gz.pestPG 0.0101431 0.00962847 -0.146347 2456653
results_thetas/sfy-fallck_25k_gw_thetasWin.gz.pestPG 0.0061503 0.00651861 -0.0480014 2928358
results_thetas/sfy-loga_25k_gw_thetasWin.gz.pestPG 0.00647276 0.00676576 -0.0610061 2940046
results_thetas/sfy-mcki_25k_gw_thetasWin.gz.pestPG 0.00612068 0.00665762 -inf 2927587
results_thetas/sfy-misc_25k_gw_thetasWin.gz.pestPG 0.00639273 0.00647975 -0.0612472 2976541
results_thetas/sfy-rockck_25k_gw_thetasWin.gz.pestPG 0.00638617 0.00690202 -inf 3004948
results_thetas/sfy-scotchman_25k_gw_thetasWin.gz.pestPG 0.00947579 0.00917667 -inf 2137696
results_thetas/sfy-shadyck_25k_gw_thetasWin.gz.pestPG 0.00648234 0.00685163 -0.0495868 3044596
results_thetas/sfy-springck_25k_gw_thetasWin.gz.pestPG 0.0063204 0.0068618 -inf 3002371
results_thetas/smith_25k_gw_thetasWin.gz.pestPG 0.0116773 0.00961188 -0.172077 2035705
results_thetas/smith-hurdygurdyck_25k_gw_thetasWin.gz.pestPG 0.00906002 0.00866486 -0.0948015 2930977
results_thetas/soquel-ebsc_25k_gw_thetasWin.gz.pestPG 0.0061581 0.00665244 -0.0511603 2996468
results_thetas/ssantiam_25k_gw_thetasWin.gz.pestPG 0.00572946 0.00562597 -0.0725696 2873929
results_thetas/stan-roseck_25k_gw_thetasWin.gz.pestPG 0.00745069 0.00781529 -inf 2685142
results_thetas/sumpqua_25k_gw_thetasWin.gz.pestPG 0.00821068 0.00844058 -0.077099 2919708
results_thetas/trin-sftrinity_25k_gw_thetasWin.gz.pestPG 0.0127342 0.00953024 -0.176692 2688759
results_thetas/trin-sftrinity-sandybar_25k_gw_thetasWin.gz.pestPG 0.00949848 0.00824461 -0.116252 2918912
results_thetas/trin-tishtang_25k_gw_thetasWin.gz.pestPG 0.00908549 0.00839555 -0.0810141 2984496
results_thetas/tuo-clavey_25k_gw_thetasWin.gz.pestPG 0.00557527 0.00601709 -0.0399758 2822786
results_thetas/vandz-dinsmore_25k_gw_thetasWin.gz.pestPG 0.010456 0.00862023 -0.118079 2905741
results_thetas/vandz-rootcreek_25k_gw_thetasWin.gz.pestPG 0.00995117 0.00837257 -0.137384 2676632
results_thetas/vandz-shanty_25k_gw_thetasWin.gz.pestPG 0.00877672 0.0090937 -inf 2872780
