PlateID,well,LabID,SampleType,Collector,YYYY,easting,northing,zone,Priority,Project,Elevation_m,conc_ng_ul
WSU-1,D11,E6,Oral Swab,Brown,2015,700335,4452727,10N,2,,1563.112427,4.64
WSU-1,E11,E7,Oral Swab,Brown,2015,700524,4452785,10N,2,,1560.010376,5.466666667
WSU-1,F11,E8,Oral Swab,Brown,2015,701150,4452704,10N,1,geneflow,1552.040771,3.733333333
WSU-1,G11,Bean21,Oral Swab,WSU,2016,663214.0579,4426846.693,10N,1,hybrid/geneflow,1376.793335,6.76
WSU-1,H11,E9,Oral Swab,Brown,2015,701503,4452274,10N,1,geneflow,1542.347168,5.52
WSU-1,A12,F1,Oral Swab,Brown,2015,658680,4422876,10N,1,geneflow,1901.397217,3.44
WSU-1,B12,Feather1,Oral Swab,FS,2016,630368,4400615,10N,3,,426.3421936,10
WSU-1,C12,Feather10,Oral Swab,FS,2016,633797,4407541,10N,3,,415.3265076,3.146666667
WSU-1,D12,Feather12,Oral Swab,FS,2016,631995,4403032,10N,3,,321.3355408,3.14
WSU-1,E12,Feather4,Oral Swab,FS,2016,630828,4399939,10N,3,,284.5326843,3.586666667
WSU-1,F12,Feather7,Oral Swab,FS,2016,631085,4399573,10N,3,,284.4585876,10
WSU-1,G12,Feather9,Oral Swab,FS,2016,632899,4406842,10N,3,,402.6818848,2.97
WSU-1,H12,ML-01,Oral Swab,FS,2016,663156,4422547,10N,1,hybrid/geneflow,1212.038696,3.986666667
WSU-2,A1,ML-02,Oral Swab,FS,2016,663156,4422547,10N,1,hybrid/geneflow,1212.038696,2.933333333
WSU-2,B1,ML-03,Oral Swab,FS,2016,663156,4422547,10N,1,hybrid/geneflow,1212.038696,3.37
WSU-2,C1,ML-05,Oral Swab,FS,2016,663130,4422544,10N,1,hybrid/geneflow,1201.95105,3.133333333
WSU-2,D1,Onion1,Oral Swab,WSU,2016,668244.6759,4389146.684,10N,1,hybrid,1309.016968,5.04
WSU-2,E1,Onion2,Oral Swab,WSU,2016,668255.0983,4389219.871,10N,1,hybrid,1303.412109,5.14
WSU-2,F1,Onion3,Oral Swab,WSU,2016,668255.0983,4389219.871,10N,1,hybrid,1303.412109,4.49
WSU-2,G1,Quest16-1,Oral Swab,WSU,2016,678433.2629,4395829.103,10N,1,hybrid,1490.749878,4.37
WSU-2,H1,Quest16-2,Oral Swab,WSU,2016,678382.1438,4396057.696,10N,1,hybrid,1547.579468,3.63
WSU-2,A2,SFRock14,Oral Swab,FS,2016,670824,4416386,10N,2,,1476.742798,8.07
WSU-2,B2,RB14,Oral Swab,FS,2015,673556,4409709,10N,3,,1478.791138,2.87
WSU-2,C2,RB7,Oral Swab,FS,2015,668201,4388987,10N,1,hybrid,1297.03833,6.586666667
WSU-2,D2,Rock1,Oral Swab,WSU,2016,668977.5229,4423469.746,10N,1,hybrid,1090.659912,5.86
WSU-2,E2,RockL1,Oral Swab,WSU,2016,658758.4758,4422793.609,10N,1,geneflow,1902.825806,3.44
WSU-2,F2,RockL2,Oral Swab,WSU,2016,658067.3665,4422773.694,10N,1,geneflow,2103.062256,6
WSU-2,G2,SFRock10,Oral Swab,FS,2016,670765,4416211,10N,2,,1463.04248,4.94
WSU-2,H2,SFRock11,Oral Swab,FS,2016,671070,4416133,10N,2,,1488.600342,2.95
WSU-2,A3,SFRock12,Oral Swab,FS,2016,670618,4416184,10N,2,,1440.678345,5.22
WSU-2,B3,SFRock13,Oral Swab,FS,2016,670393,4416193,10N,2,,1396.207642,2.650666667
WSU-2,C3,SFRock14,Oral Swab,FS,2016,670824,4416386,10N,2,,1476.742798,8.07
WSU-2,D3,SFRock15,Oral Swab,FS,2016,670824,4416386,10N,2,,1476.742798,2.733333333
WSU-2,E3,SFRock17,Oral Swab,FS,2016,670869,4416415,10N,2,,1481.623047,5.6
WSU-2,F3,SFRock18,Oral Swab,FS,2016,670890,4416419,10N,2,,1483.795898,2.76
WSU-2,G3,SFRock19,Oral Swab,FS,2016,670890,4416419,10N,2,,1483.795898,5.84
WSU-2,H3,SFRock2,Oral Swab,FS,2016,670678,4416209,10N,2,,1449.872314,3.12
WSU-2,A4,SFRock22,Oral Swab,FS,2016,670986,4416448,10N,2,,1488.247314,5.213333333
WSU-2,B4,SFRock23,Oral Swab,FS,2016,670993,4416461,10N,2,,1488.916138,2.706666667
WSU-2,C4,SFRock3,Oral Swab,FS,2016,670718,4416206,10N,2,,1459.138794,2.93
WSU-2,D4,SFRock4,Oral Swab,FS,2016,670718,4416206,10N,2,,1459.138794,3.65
WSU-2,E4,SFRock5,Oral Swab,FS,2016,670656,4416200,10N,2,,1443.708374,3.39
WSU-2,F4,SFRock6,Oral Swab,FS,2016,670826,4416382,10N,2,,1477.246704,2.61
WSU-2,G4,SFRock7,Oral Swab,FS,2016,671013,4416482,10N,2,,1490.253174,3.01
WSU-2,H4,SFRock8,Oral Swab,FS,2016,670537,4416224,10N,2,,1425.613159,2.86
WSU-2,A5,SFRock9,Oral Swab,FS,2016,670887,4416421,10N,2,,1483.046997,2.96
WSU-2,B5,Silver1,Oral Swab,WSU,2016,664456.4101,4422598.92,10N,1,hybrid/geneflow,1149.228271,3.22
WSU-2,C5,Silver2,Oral Swab,WSU,2016,664554.0352,4422713.744,10N,1,hybrid/geneflow,1145.314087,2.866666667
WSU-2,D5,SFRock14,Oral Swab,FS,2016,670824,4416386,10N,2,,1476.742798,8.07
WSU-2,E5,Spanish1,Oral Swab,WSU,2016,667399.8689,4424079.043,10N,1,hybrid,1093.054077,3.18
WSU-2,F5,Spanish10,Oral Swab,WSU,2016,663806.1877,4425227.836,10N,1,hybrid,1202.609131,8.05
WSU-2,G5,Spanish11,Oral Swab,WSU,2016,663778.0786,4425338.838,10N,1,hybrid,1209.668823,4.95
WSU-2,H5,Spanish18,Oral Swab,FS,2016,663395,4425877,10N,1,hybrid,1253.627441,7.76
WSU-2,A6,Spanish2,Oral Swab,WSU,2016,667330.423,4424049.865,10N,1,hybrid,1092.703979,3.22
WSU-2,B6,Spanish20,Oral Swab,FS,2016,662856,4426241,10N,1,hybrid,1303.471558,5.706666667
WSU-2,C6,Spanish23,Oral Swab,FS,2016,663251,4426116,10N,1,hybrid,1279.355347,5.573333333
WSU-2,D6,Spanish25,Oral Swab,WSU,2016,663375.0956,4425871.671,10N,1,hybrid,1250.761597,4.17
WSU-2,E6,Spanish26,Oral Swab,FS,2016,662152,4426717,10N,1,,1364.137451,5.2
WSU-2,F6,Spanish3,Oral Swab,WSU,2016,667452.2254,4424069.088,10N,1,hybrid,1091.945801,3.96
WSU-2,G6,Spanish4,Oral Swab,WSU,2016,668804.9547,4423881.935,10N,1,hybrid,1076.239624,10
WSU-2,H6,Spanish5,Oral Swab,WSU,2016,668113.8919,4424060.114,10N,1,hybrid,1088.19043,8.07
WSU-2,A7,SFRock14,Oral Swab,FS,2016,670824,4416386,10N,2,,1476.742798,8.07
WSU-2,B7,Spanish6,Oral Swab,WSU,2016,668647.8713,4423989.179,10N,1,hybrid,1078.836182,8.38
WSU-2,C7,Spanish7,Oral Swab,WSU,2016,668905.5877,4423911.484,10N,1,hybrid,1087.433228,4.04
WSU-2,D7,Spanish8,Oral Swab,WSU,2016,669012.4996,4423804.354,10N,1,hybrid,1073.57019,5.55
WSU-2,E7,Spanish9,Oral Swab,WSU,2016,663798.3669,4425158.371,10N,1,hybrid,1199.447876,7.31
WSU-2,F7,EN_MEB_101316,Swab,,,,,,,EN,,4.826666667
WSU-3,A1,Bean45,Tail-Clip,WSU,2016,662022.8677,4428056.133,10N,1,geneflow,1528.171021,6.605
WSU-3,B1,GD5,Tail-Clip,Greta,,663518,4425874,10N,1,hybrid/geneflow,1259.683594,6.016
WSU-3,C1,GD6,Tail-Clip,Greta,,663592,4425978,10N,1,hybrid/geneflow,1286.211182,5
